"ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","type","afterbreak","breakR"
"H1307",8,"16",15,6,8,12,39,11,9,29,0.22465,0.0819166666666667,0.3604,0.248566666666667,9.952,2.606,4.368,8.75496363043785,4,1,48,"1","H",1,8
"H1307",9,"17",6,11,6,5,7,29,14,6,0.317875,0.1821,0.195533333333333,0.314142857142857,2.902,10.187,4.524,5.57796363043785,4.5,0,18,"1","H",1,8
"H1307",9,"18",12,6,9,9,23,7,18,24,0.389958333333333,0.245375,0.330842105263158,0.224398545217514,11.885,6.896,9.156,9.13496363043785,3.75,0,15,"1","H",1,8
"H1307",10,"20",12,2,12,18,28,1,17,37,0.229689655172414,0.468,0.432388888888889,0.200367463958891,12.2,2.121,10.467,10.4999636304379,5,0,20,"1","H",1,8
"H1307",11,"21",10,8,5,12,23,11,9,48,0.308166666666667,0.251,0.2698,0.223122448979592,11.356,4.696,3.932,22.3029636304379,4,1,48,"1","H",1,8
"H1307",11,"22",17,9,17,17,42,11,43,42,0.203883720930233,0.258666666666667,0.232590909090909,0.305836363498555,11.029,4.103,13.65,14.7739636304379,4.75,0,19,"1","H",1,8
"H1307",12,"23",11,1,3,7,58,0,4,11,0.242271186440678,0.078,0.134,0.148580302536488,18.72,2.168,1.827,2.74996363043785,3.5,0.5,14,"1","H",1,8
"H1307",12,"24",8,4,14,18,21,6,45,35,0.214818181818182,0.153857142857143,0.221195652173913,0.197194444444444,5.303,1.966,13.775,9.20496363043785,5.25,0,21,"1","H",1,8
"H1318",1,"1",20,1,2,2,103,0,1,1,0.225663461538462,0.53,0.265,0.3355,28.485,0.53,0.53,0.796832858815789,2,1,24,"0","H",0,8
"H1318",1,"2",20,3,2,4,100,2,1,5,0.253138613861386,0.333,0.5385,0.473305476469298,27.05,0.999,2.34,3.69783285881579,2.75,0.5,11,"0","H",0,8
"H1318",2,"3",17,5,2,2,62,5,1,1,0.14731746031746,0.109166666666667,0.3275,0.183916429407895,11.168,1.232,1.233,0.898832858815789,2,1,24,"0","H",0,8
"H1318",2,"4",16,6,4,11,37,5,3,16,0.206078947368421,0.065,0.10525,0.293637226989164,8.19,1.06,0.999,5.56883285881579,3,1,36,"0","H",0,8
"H1318",3,"5",20,3,1,1,112,3,0,0,0.190911504424779,0.12075,0.5,0.39,23.884,1.076,0.5,0.502832858815789,3,1,36,"0","H",0,8
"H1318",3,"6",20,5,2,8,131,5,2,11,0.214492424242424,0.0936666666666667,0.192333333333333,0.245652738234649,29.11,1.233,1.029,3.83683285881579,4.5,0.5,18,"0","H",0,8
"H1318",4,"7",20,2,1,1,52,1,0,0,0.243962264150943,0.1325,0.375,0.171,13.494,0.733,0.968,0.532832858815789,4,1,48,"0","H",0,8
"H1318",4,"8",17,10,8,18,57,17,9,42,0.200689655172414,0.194166666666667,0.2106,0.274437973460832,13.058,4.337,2.636,12.0668328588158,2,1,24,"0","H",0,8
"H1318",5,"9",19,5,1,2,63,5,0,1,0.234703125,0.112,0.375,0.203416429407895,15.084,1.264,0.812,0.936832858815789,4,1,48,"0","H",0,8
"H1318",5,"10",19,3,1,5,58,2,0,4,0.195135593220339,0.109333333333333,0.527,0.1776,13.29,1.144,1.025,1.41983285881579,4,1,48,"0","H",0,8
"H1318",6,"11",19,3,6,16,88,3,8,36,0.209820224719101,0.152,0.279222222222222,0.257216216216216,23.681,1.295,3.401,10.2078328588158,6,1,72,"0","H",0,8
"H1318",6,"12",16,2,1,12,49,1,0,30,0.1919,0.781,0.5,0.291354838709677,11.559,2.23,1.202,11.0608328588158,5.5,0.5,22,"0","H",0,8
"H1318",7,"13",20,6,7,11,111,9,24,27,0.229410714285714,0.1357,0.18588,0.221815459243421,29.156,1.952,5.162,6.66383285881579,6,1,72,"0","H",0,8
"H1318",7,"14",20,11,3,18,88,14,4,52,0.228932584269663,0.179733333333333,0.2936,0.195808167147468,23.415,3.463,1.591,10.7988328588158,4,1,48,"0","H",0,8
"H1318",8,"15",16,11,2,13,107,21,1,46,0.271212962962963,0.245363636363636,0.2185,0.222702127659574,37.737,7.94,1.233,12.2388328588158,6,1,72,"1","H",1,8
"H1318",8,"16",17,3,4,2,127,2,4,1,0.2096171875,0.114333333333333,0.206,0.195,32.885,1.263,1.498,0.619832858815789,2,1,24,"1","H",1,8
"H1318",9,"17",19,4,2,1,52,3,1,0,0.20311320754717,0.133,0.179,0.312,12.402,1.468,0.623,0.902832858815789,3,1,36,"1","H",1,8
"H1318",9,"18",20,3,3,9,59,2,4,9,0.220216666666667,0.312,0.2246,0.233783285881579,13.322,1.545,1.123,2.33783285881579,3,1,36,"1","H",1,8
"H1318",10,"19",20,7,4,12,76,19,4,18,0.273493506493507,0.09745,0.6456,0.302210526315789,24.243,2.496,3.728,6.67783285881579,5.25,0,21,"1","H",1,8
"H1318",10,"20",20,8,15,8,84,11,22,15,0.258776470588235,0.200166666666667,0.143782608695652,0.104302053675987,23.073,3.494,3.962,2.37283285881579,6,1,72,"1","H",1,8
"H1318",11,"21",20,4,5,19,79,4,7,58,0.2182125,0.0936,0.259375,0.227946319640946,18.065,1.264,2.387,13.7138328588158,5,1,60,"1","H",1,8
"H1318",11,"22",19,2,7,14,124,1,7,33,0.194168,0.304,0.32175,0.215789201729876,25.912,1.903,3.105,8.31883285881579,5,1,60,"1","H",1,8
"H1318",13,"25",19,7,3,6,92,8,2,5,0.184838709677419,0.0847777777777778,0.254666666666667,0.671305476469298,18.018,1.201,1.638,4.49583285881579,5,1,60,"1","H",1,8
"H1318",14,"27",16,8,10,12,69,14,19,18,0.167585714285714,0.135266666666667,0.08185,0.162359624148199,12.215,2.605,2.231,3.97283285881579,3.75,0,15,"1","H",1,8
"H1318",15,"29",15,2,5,2,25,1,4,3,0.181769230769231,0.1405,0.1216,0.1015,5.694,0.577,0.967,0.637832858815789,5,1,60,"1","H",1,8
"H1318",15,"30",19,4,6,5,102,3,5,5,0.186155339805825,0.277,0.1325,0.0859721431359649,19.595,1.466,1.03,1.10783285881579,5,1,60,"1","H",1,8
"H1318",16,"31",20,8,19,8,70,11,140,12,0.257056338028169,0.269,0.20477304964539,0.277448681447368,19.282,4.025,29.577,4.12183285881579,6,1,72,"1","H",1,8
"H1318",16,"32",20,4,2,8,102,3,1,9,0.206766990291262,0.164,0.32,0.117,23.774,1.109,1.138,1.95483285881579,5.25,0.5,21,"1","H",1,8
"H1318",17,"33",20,5,5,10,80,6,4,18,0.225913580246914,0.0867142857142857,0.2402,0.363517518885042,19.377,1.309,1.201,6.95383285881579,5,1,60,"1","H",1,8
"H1318",17,"34",12,4,10,14,36,3,14,20,0.206054054054054,0.312,0.3838,0.376087278991228,9.328,1.607,5.757,8.53783285881579,5,1,60,"1","H",1,8
